2017/07/19 09:45:04 [error] 209#209: *1 access forbidden by rule, client: 127.0.0.1, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "localhost"
2017/07/19 09:48:54 [error] 209#209: *1 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:55 [error] 209#209: *2 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:55 [error] 209#209: *3 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *4 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *5 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *6 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *7 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *8 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *9 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *10 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:56 [error] 209#209: *11 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:57 [error] 209#209: *12 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:57 [error] 209#209: *13 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:57 [error] 209#209: *14 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:57 [error] 209#209: *15 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:57 [error] 209#209: *16 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:48:57 [error] 209#209: *17 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:08 [error] 209#209: *18 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:08 [error] 209#209: *19 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:08 [error] 209#209: *20 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:09 [error] 209#209: *21 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:09 [error] 209#209: *22 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:09 [error] 209#209: *23 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:17 [error] 209#209: *24 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:49:17 [error] 209#209: *25 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET /favicon.ico HTTP/1.1", host: "sso.tiredofit.ca", referrer: "https://sso.tiredofit.ca/"
2017/07/19 09:54:04 [error] 209#209: *26 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET / HTTP/1.1", host: "sso.tiredofit.ca"
2017/07/19 09:54:04 [error] 209#209: *27 access forbidden by rule, client: 172.18.0.2, server: <reload_hostname>, request: "GET /favicon.ico HTTP/1.1", host: "sso.tiredofit.ca", referrer: "https://sso.tiredofit.ca/"
2017/07/19 10:19:01 [error] 210#210: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 10:19:02 [error] 210#210: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 10:19:02 [error] 210#210: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 10:19:02 [error] 210#210: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 10:19:03 [error] 210#210: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 10:45:58 [error] 220#220: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 10:54:58 [error] 216#216: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 12:15:45 [error] 217#217: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 12:15:45 [error] 217#217: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "sso.tiredofit.ca"
2017/07/19 12:19:37 [error] 260#260: *5 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:19:38 [error] 260#260: *7 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:19:38 [error] 260#260: *9 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:19:39 [error] 260#260: *11 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:19:39 [error] 260#260: *13 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:21:45 [error] 260#260: *15 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "manager.sso.tiredofit.ca"
2017/07/19 12:21:45 [error] 260#260: *17 access forbidden by rule, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET /favicon.ico HTTP/1.1", host: "manager.sso.tiredofit.ca", referrer: "https://manager.sso.tiredofit.ca/"
2017/07/19 12:28:01 [error] 223#223: *1 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "manager.sso.tiredofit.ca"
2017/07/19 12:28:01 [error] 223#223: *3 access forbidden by rule, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET /favicon.ico HTTP/1.1", host: "manager.sso.tiredofit.ca", referrer: "https://manager.sso.tiredofit.ca/"
2017/07/19 12:32:34 [error] 225#225: *1 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "manager.sso.tiredofit.ca"
2017/07/19 12:32:34 [error] 225#225: *3 access forbidden by rule, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET /favicon.ico HTTP/1.1", host: "manager.sso.tiredofit.ca", referrer: "https://manager.sso.tiredofit.ca/"
2017/07/19 12:32:35 [error] 225#225: *4 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "manager.sso.tiredofit.ca"
2017/07/19 12:32:35 [error] 225#225: *6 access forbidden by rule, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET /favicon.ico HTTP/1.1", host: "manager.sso.tiredofit.ca", referrer: "https://manager.sso.tiredofit.ca/"
2017/07/19 12:32:35 [error] 225#225: *7 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "manager.sso.tiredofit.ca"
2017/07/19 12:32:35 [error] 225#225: *9 access forbidden by rule, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET /favicon.ico HTTP/1.1", host: "manager.sso.tiredofit.ca", referrer: "https://manager.sso.tiredofit.ca/"
2017/07/19 12:32:35 [error] 225#225: *10 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "manager.sso.tiredofit.ca"
2017/07/19 12:32:35 [error] 225#225: *12 access forbidden by rule, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET /favicon.ico HTTP/1.1", host: "manager.sso.tiredofit.ca", referrer: "https://manager.sso.tiredofit.ca/"
2017/07/19 12:35:25 [error] 225#225: *13 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "manager.sso.tiredofit.ca"
2017/07/19 12:35:25 [error] 225#225: *15 access forbidden by rule, client: 172.18.0.2, server: manager.sso.tiredofit.ca, request: "GET /favicon.ico HTTP/1.1", host: "manager.sso.tiredofit.ca", referrer: "https://manager.sso.tiredofit.ca/"
2017/07/19 12:35:32 [error] 225#225: *16 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:38:22 [error] 225#225: *18 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:38:23 [error] 225#225: *20 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:38:23 [error] 225#225: *22 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
